,comments,label
219,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
220,설마... 이상한 짓하지마ㅜ,
221,충전기 이어폰 체크 있어서 빼면 각각2만원씩 총4만원 할인했으면 좋겠네요,
222,아 제발 이러지마,
223,아니... 충전기는 진짜 폰 사용하는데 필수품인데 그걸 구성에서 빼버리다니 진짜 왜 그래요ㅠㅠㅠㅠ,
224,현재하는것 처럼 요청하면 무료로 주면 좋은거 같은데여??? 안쓰면 아까우니까..,
225,아! 요즘에 요청하면 무료로 주나요?,
226,미국에서는 이어폰을 기본구성에서 빼고 요청하면 준다고 기사에 적어져 있어요!,
227,아하!^^ 감사합니다~!!,
228,아니 환경 어쩌고 저쩌고... 하기전에 일단 필요한걸요. 배달시킬때 젓가락 빼달라 하는 것처럼 신청한 사람에 한해서 빼주고 그만큼 가격 절감을 해주던가.... 뭔 기기 팔면서 충전기는 다 빼버리고 이건 환경을 위한거다! 하고 별도 구매 해놓으면 다 장삿속으로만 보여요,
229,그냥 둘이 합병해라,
230,아 진짜ㅋㅋㅋ며칠전에 충전기 사러 갔더니 c타입usb 2만원하던거 c타입c타입으로 바뀌고 3만원에 팔길래 설마했는데.. 할거면 버즈처럼 폰구매시 충전기 할인쿠폰이나 할인..,
231,에이,
232,근데 삼성은 괜찮지 않나요? 충전기 없어도 하나만 사면 다 호환되는데...,
233,나쁜 거 따라 하지 마... 샘송,
234,이어폰이랑 충전기 빼고 가격낮춘다면 괜찮아요충전기야 뭐 사방에 있고 남아도니까... 아이폰은 그게 안되서 그렇지...,
235,블루투스 충전기는 아직 멀었니 삼성?.. 범위 내에 있으면 충전되게해줘..,
236,개....소리....,
237,넌 또 뭐야,
238,좀...,
239,아니 좋은걸 따라해야지 왜 그걸 따라해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
240,아니 확실하지도 않은 걸 기사로 내셨네... 삼성에서 저렇게 한다는 말 1도 없었는데요,
241,예측이 있다~ 를 실화인 것처럼 쓰시면 어떡해요..,
242,222 제목 보고 뭐지 하면서 들어왔다가 내용보고 당황ㅋㅋㅋ,
243,그래서 S21이란겨 S30이란겨 보는 저는 너무 불편해요,
244,왜 이런것만 배워ㅠㅠ,
245,...갤s10e야 우리 오래 함께하자,
246,C타입 이어폰도 좋은 걸로 내줬으면 좋겠다,
