,comments,label
15607,김천 국그릇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아,
15608,ㅋㅋㅋㅋㅋㅋㅋ국그릇ㅋㅋㅋ,
15609,ㅋㅋㅋㅋㅋㅋㅋㅋ그런 생각 어찌하는 걸까요ㅋㅋㅋㅋ 넘 재치있어얔ㅋㅋㅋㅋㅋㅋ,
15610,아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비유 ㅋㅋㅋㅋㅋㅋㅋㅋ,
15611,김밥천국 가고싶다,
15612,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋ일어나서 처음으로 크게 웃었습니닼ㅋㅋㅋㅋㅋㅋ,
15613,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋ,
15614,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다른 설명이 필요없네욬ㅋㅋㅋㅋ,
15615,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15616,아 ㅈㅂㅋㅋㅋㅋㅋㅋㅋㅋ 국그릇 아 ㅋㅋㅋㅋㅋㅋㅋ,
15617,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋ엌ㅋㅋㅋㅋ,
15618,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비유 너무 찰떡,
15619,진짜 예뻐ㅠ 2 나올 때까지 버텨야지,
15620,ㅋㅋㅋㅋㄱㄱㅋㅋㅋㄱ,
15621,ㅋㅋㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15622,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15623,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15624,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15625,순간 사진보고 인공지능무빙서비스 그런건줄,
15626,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15627,김천국그릇이라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 그런생각 어떻게하죠 ㅋㅋㅋㅋㅋ,
15628,아 진짜 우리나라 사람들 너무 웃겨요ㅠㅠㅠㅠㅠㅠㅠㅠ,
15629,ㅋㅋㅋㅋㅋㅋㅋ,
15630,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋ,
15631,한국사람들 너무 웃겨요ㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㄱ,
15632,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15633,김천 국그릇ㅋㅋㅋㅋㅋㅋ아 너무웃겨욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15634,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15635,대천재ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15636,ㅋㅋㅋㅋㅋㅌㅌㅌ,
15637,아 김천 국그릇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인정 ㅜㅜ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아웃곀ㅋㅋㅋㅋ,
15638,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15639,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15640,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15641,아잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15642,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭔지 너무 알겠네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15643,한국 사람들 센스가 진짴ㅋㅋㅋ 김천이라닠ㅋㅋㅋㅋ,
15644,하앀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ비유장인들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15645,ㅋㅋㅋㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋ아진짜 사람들 너뭌ㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋ 진짜 김천 국그릇같네옄ㅋㅋㅋㅋㅋㅋ,
15646,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15647,오바다 떨어지면 어뜨케,
15648,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15649,ㅋㅋㅋㅋㅋ 진짜 이쁘다..작아서 더 이쁨 ㅋㅋㅋ,
15650,zzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대체 이런 생각은 어떻게 하는 건짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15651,진짜네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15652,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15653,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제목이 너무 적절ㅋㅋㅋㅋㅋㅋ,
15654,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15655,김천 국그릇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15656,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15657,귀엽닼ㅋㅋㅋㅋㅋㅋㅋㅋ,
15658,한국인들 드립 뒤집어진다 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15659,국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15660,ㅋㅋㅋㅋ김천 국그릇ㅋㅌㅋㅋㅋㅋㅋ,
15661,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15662,뭔가 했더니 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15663,국그릇무빙 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15664,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15665,첫번째짤 떨어질까봐 무섭네요 제가 다 식겁했어요,
15666,ㅋ ㅋㅋzㅋㅋ ㅋ ㅋㅋㅋ아웃겨,
15667,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15668,ㅋㅋㅋㅋㄱㅋㅋㄱㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋ,
15669,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋ,
15670,발이 달렸나ㅋㅋ,
15671,아낰ㅋㅋㅋㅋ뭔소리인가 햌ㅅ네욬ㅋㅋㅋㅋ,
15672,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15673,아니 저세상 드립 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15674,김천 국그릇ㅋㅋㅋㅋㅋㅋ뭔지알아서 더웃긴,
15675,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ비유가  찰떡이라 금방 날아들어ㅛ어욬ㅋㅋㅋㅋ,
15676,드립력 실화냐 ......ㄷㄷㄷ,
15677,김천 국그릇 ㅋㅋㅋㅋㅋㅋㅋ 뭔말인지 바로 이해돼서 더 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15678,노트10도 저래요 잘미끄러짐...,
15679,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15680,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15681,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15682,국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15683,김천국그릇ㅋㅋㅋㅋㅋㅋㅋ,
15684,국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15685,우리야 웃어넘기지만 설계 결함아님..?,
15686,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15687,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 웃겨,
15688,이쁘긴한데 펼치기 너무 힘들거 같아요. 조심성 없는 제가 쓰기엔 너무 약한 핸드폰 ㅠㅠ 아쉽당...,
15689,ㅋㅋㅋㅋㅋㅋㅋ,
15690,ㅋㅋㅎㅎㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅋ,
15691,자아있는거같아보야서 귀엽네염,
15692,뭔소린가했넼ㅋㅋㄱㅋㄲㅋㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋ,
15693,김천ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ 국그릇 ㅋ ㅋ ㅋ ㅋ ㅋㅋ. ㅋ ㅋㅋ ㅇ ㅇ,
15694,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15695,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15696,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15697,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15698,뭔말인가 했다 드립력 ㅋㅋㅋㅋㅋㅋㅋ,
15699,ㅋㅋㅋㅋ우리나라 국민들 드립력은 진짜ㅋㅋㅋㅋ 역시 해학의 민족👍,
15700,ㅋㅋㅋㅋㅋ김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 천재들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15701,드립력ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15702,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋ,
15703,ㅋㅋㅋㅋㅋㅋ 김천 국그릇ㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15704,국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15705,김천 국그릇이래 ㅋㅆㅋㅋㅅㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋ 한국인들 드립력 무엇이야,
15706,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15707,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김천,
15708,ㅁㅋㅋㅋㅋ김천ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔가했넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15709,ㅇㄴㅋㅋㅋㅋ,
15710,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15711,저거톰브라운디자인너무이뻐서탐남ㅠㅜㅜㅡㅜㅜㅜㅠ,
15712,김천 국그릇ㅋㅋㅋㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋ,
15713,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15714,아니 작명ㅋㅋㅋㅋㅋㅋㅋ 김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15715,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ지갑같다,
15716,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 갤럭시 진동세기조절할 수 있지않나요? 저도 진동센거 싫어해서 제일 약하게해두고 쓰는데,
15717,뭔소린가했넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15718,아 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15719,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15720,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15721,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15722,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ김천 국그릇 드립,
15723,김천 국그릇ㅋㅌㅌㅋㅌㄴㄴㅌㅋㅋㅋㅋㅋ큐큐큐ㅠㅠㅠㅠㅋㅋㅋㅌㅋ,
15724,김천 ㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15725,ㅋㅋㄱㅋㅋㅋㅋㄱㅋ,
15726,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15727,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15728,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15729,진동벨......,
15730,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15731,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15732,바로 이해 되는게 더 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋ,
15733,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15734,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미치겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15735,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15736,ㅋㅋㅋㅋㅋㅋ국그릇ㅇ,
15737,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15738,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15739,하여간 한국사람들 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15740,아 비유가 단박에 이해가 돼서 웃겨욬ㅋㅋㅋㅋㅋ,
15741,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15742,김천국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 공감ㅋㅋㅋㅋㅋㅋㅋㅋ,
15743,ㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱ아 눈물난닼ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋ,
15744,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15745,ㅋㅋㅋㅋㅋㅋㅋㅋ,
15746,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15747,헐 노트9도 세면대위쪽에 노래 틀고 샤워 중이였는데 잔화와서 진동땜에 폰 떨어졌었어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진동 쩔어요... ㅋㅋㅋㅋㅋ,
15748,"이해하고 싶어요 ,,,,,",
15749,국그릇이 물때문에 저절로 미끄러지는 걸 말하는 거 같아요!,
15750,김천 국그릇이라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 도대체 저런 드립 어케 생각하냐궄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15751,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15752,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15753,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15754,아나 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15755,드립진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳣나밬ㅋㅋㅋㅋㅋㅋ,
15756,ㅋㅋㅋㅋㅋㅋㅋ아니근데 너무이뻐요,
15757,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15758,김천 국그릇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15759,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 드립력 대박이에요ㅋㅋㅋㄱㅋ,
15760,오늘 샀어요 ㅎㅎㅎㅎㅎ 이거보고 진동 부터 설정했습니닼ㅋㅋㅋㅋ,
15761,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇㄴ,
15762,로봇청소기같다ㅋㅋㅋㅋㅋㅋ귀엽,
15763,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15764,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 악 김천 국그릇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
15765,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
